region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
cACB,0.08115712429931952,0.05911351481457842,0.07978845608028654,0.060281027498908714,0.008993300627642845,0
cFS,0.0791980866172243,0.06125426652634261,0.07978845608028654,0.060281027498908714,0.11570995667981118,0
cOT,0.07960796942006619,0.061015317015553794,0.07978845608028654,0.060281027498908714,0.8385182538223244,0
cLS,0.08059442598203986,0.06049910996852696,0.07978845608028654,0.060281027498908714,0.3305845196211149,0
cSF,0.07977951186691798,0.058407764875487836,0.07978845608028654,0.060281027498908714,0.022888234562008287,0
cSH,0.08001319158909821,0.059965353378726216,0.07978845608028654,0.060281027498908714,0.7221265598250798,0
cBA,0.07940325108756223,0.05909458636214427,0.07978845608028654,0.060281027498908714,0.3401489096884833,0
cCEA,0.08145863412950399,0.06256601770690311,0.07978845608028654,0.060281027498908714,0.046521647006238856,0
cIA,0.08131642961351389,0.05942780779208634,0.07978845608028654,0.060281027498908714,0.04452952142844479,0
cMEA,0.08218603035113335,0.060433359275485786,0.07978845608028654,0.060281027498908714,0.021011821647645246,0
cPALd,0.07839709263808366,0.061527342600304055,0.07978845608028654,0.060281027498908714,0.019869832185850738,0
cSI,0.07903902578116416,0.06119555084919769,0.07978845608028654,0.060281027498908714,0.3759893015065138,0
cMA,0.07899263004247692,0.06086121866076733,0.07978845608028654,0.060281027498908714,0.15173926989000155,0
cMS,0.07973683161682756,0.06039229965028398,0.07978845608028654,0.060281027498908714,0.4864156366611915,0
cNDB,0.07969371239833811,0.0603756194969867,0.07978845608028654,0.060281027498908714,0.8492226108928483,0
cBST,0.079035686698522,0.06210934707124372,0.07978845608028654,0.060281027498908714,0.05910406590274872,0
cVAL,0.08000051073889893,0.06127785646704382,0.07978845608028654,0.060281027498908714,0.7886519235042613,0
cVM,0.08229045999872994,0.05956292796878474,0.07978845608028654,0.060281027498908714,0.0004261124420286847,1
cVPL,0.07871565154606705,0.060623089542000436,0.07978845608028654,0.060281027498908714,0.06495236192701823,0
cVPM,0.08049274476675432,0.06006535211008728,0.07978845608028654,0.060281027498908714,0.6063417203639989,0
cPoT,0.07806506205860991,0.05956663238337791,0.07978845608028654,0.060281027498908714,0.016765965305971516,0
cSPF,0.07851743933106273,0.06020484461275254,0.07978845608028654,0.060281027498908714,0.04473572441476266,0
cSPA,0.07960746753776148,0.05957084769079794,0.07978845608028654,0.060281027498908714,0.6699583719885029,0
cPP,0.08079970898556307,0.06057396003873389,0.07978845608028654,0.060281027498908714,0.3064280346669186,0
cMG,0.0784450361578862,0.06313225396565338,0.07978845608028654,0.060281027498908714,0.0003706792007413393,1
cLGd,0.07949515694800303,0.061422189669426405,0.07978845608028654,0.060281027498908714,0.4600115786619624,0
cLP,0.07744596199549045,0.06112912268838755,0.07978845608028654,0.060281027498908714,0.001140429460160808,0
cPO,0.07945244752601964,0.0615858169344436,0.07978845608028654,0.060281027498908714,0.038659436720545046,0
cPOL,0.07786630518535845,0.05882149957413746,0.07978845608028654,0.060281027498908714,0.0771195561391688,0
cSGN,0.08153245870284141,0.05969815279676034,0.07978845608028654,0.060281027498908714,0.023318898430105223,0
cEth,0.079855638642954,0.06275284104962492,0.07978845608028654,0.060281027498908714,0.1113138796779971,0
cLD,0.07980714715936045,0.061735553304954414,0.07978845608028654,0.060281027498908714,0.07553094392968676,0
cIMD,0.0816963501799886,0.06107775622177921,0.07978845608028654,0.060281027498908714,0.03531416552952155,0
cMD,0.08103688996246854,0.06053188977006754,0.07978845608028654,0.060281027498908714,0.09930710338813781,0
cSMT,0.08116652087145959,0.06038440897787054,0.07978845608028654,0.060281027498908714,0.06511228845210335,0
cPR,0.07893620102585505,0.05959685848633281,0.07978845608028654,0.060281027498908714,0.4842277778605838,0
cPVT,0.07885878827551157,0.059737137497244956,0.07978845608028654,0.060281027498908714,0.19673314487402166,0
cRE,0.08036615876872852,0.06056747748642535,0.07978845608028654,0.060281027498908714,0.48937446300428455,0
